forecast_origin_ts,step_ahead,predicted
2026-04-21T19:55:00,1,64.01964569091797
2026-04-21T19:55:00,2,64.02791595458984
2026-04-21T19:55:00,3,64.02884674072266
2026-04-21T19:55:00,4,64.03799438476562
2026-04-21T19:55:00,5,64.04357147216797
2026-04-21T19:55:00,6,64.04813385009766
2026-04-21T19:55:00,7,64.05302429199219
2026-04-21T19:55:00,8,64.05867004394531
2026-04-21T19:55:00,9,64.05652618408203
2026-04-21T19:55:00,10,64.0547103881836
2026-04-21T19:55:00,11,64.04962921142578
2026-04-21T19:55:00,12,64.05375671386719
2026-04-21T19:55:00,13,64.06082153320312
2026-04-21T19:55:00,14,64.05834197998047
2026-04-21T19:55:00,15,64.06202697753906
2026-04-21T19:55:00,16,64.0722427368164
2026-04-21T19:55:00,17,64.06815338134766
2026-04-21T19:55:00,18,64.06364440917969
2026-04-21T19:55:00,19,64.06637573242188
2026-04-21T19:55:00,20,64.07417297363281
2026-04-21T19:55:00,21,64.07461547851562
2026-04-21T19:55:00,22,64.07691955566406
2026-04-21T19:55:00,23,64.0793685913086
2026-04-21T19:55:00,24,64.08985900878906
